m/z,area,Messung,sccm,Temperatur,Datei
0.8003,1.7986444444444492,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.8238,2.0920874999999928,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.8466,1.271534722222226,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.8734,1.7828166666666638,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.8985,2.6159388888888833,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.9227,1.5150333333333337,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.9472,1.0415611111111196,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.9741,0.9957888888888743,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.9994,1.088241666666652,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.0254,1.081648611111116,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.052,1.1884416666666646,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.0773,1.1053791666666823,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.1056,0.5679944444444444,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.1341,0.2960069444444428,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.1606,0.3982777777777772,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.1881,0.34320694444444266,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.2159,0.33606111111112935,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.2447,0.2882666666666626,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.2722,0.2688000000000156,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.3012,0.0908125000000009,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
1.8313,0.13356916666666555,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.1474,3874.404949702572,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.1887,3803.910991071699,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.2419,3531.5683124996413,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.2812,3866.7731336310667,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.3266,183.9833571428617,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.3767,3515.4405133924156,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.4218,3889.3319732144187,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.4716,2060.9713729164027,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.5277,1415.3171321429038,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.5695,4.53259821428511,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.6284,20.111548511904637,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.6691,53.99974702380844,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.7137,63.56194107142516,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.7524,4045.11983720216,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.795,3890.200721428672,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.8456,3842.9280779762557,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.8925,4046.3509994045285,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.9388,4135.309926489529,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
5.9916,3909.579199999569,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.0398,4135.941107442015,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.0867,3939.1742901790803,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.1464,4112.986133332881,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.1961,4108.225866668353,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.2523,4013.747999999558,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.2975,4170.828533333304,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.3429,4320.167314584129,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.3924,4052.709034028104,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.4471,4041.130747453195,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.5019,4068.832399536244,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.5554,4243.927869444315,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.6066,4218.244049769524,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.6696,4251.654893054632,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.7128,4353.658460186344,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.7688,4039.5345013885717,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.8115,4196.202357869884,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.872,1062.4645046295782,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.9202,4160.200168056168,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
6.988,73.28679143518366,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.033,4404.253927084098,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.0928,40.485590740737614,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.1442,4168.933713426088,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.2001,3255.442168518404,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.2485,4242.236871990819,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.3013,4415.083742361374,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.3587,92.01616898148657,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.4241,2113.1568770836698,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.4784,51.12648171296274,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.5312,74.4872856481472,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.5797,4.334806018518648,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.6381,7.476252777777868,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.6931,35.55538472222171,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.7493,20.375100000000142,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.8074,20.579999999999206,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.8622,2.339699999999853,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
7.9252,2.5856999999999646,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.0339,0.8647507407407402,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.0857,4.194599444444279,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.1396,3.859255185185877,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.2009,4.047483888888712,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.2625,0.37954981481480693,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.3243,1.1415112962962184,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.4402,0.8666857407406484,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.5484,2.6764948148144954,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
8.6658,0.8231327777776616,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
17.9978,9.494030769229102,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
28.0425,2.462862683823039,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
32.0475,1.1058000000003776,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
36.0548,0.533266666666421,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
36.1554,1.499099999999309,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
39.5835,8.36385942982739,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
39.6869,34.54895092106531,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
39.7885,66.63696171055065,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
39.8881,122.44733333333978,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
39.9879,1156.7899999993888,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
40.0898,1.2593333333337011,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
43.0972,4.497243531745799,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
58.1337,0.5879999999999784,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
72.164,0.5567284425450048,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
85.1388,2.590666666666131,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
100.1599,2.262246169355088,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
128.1496,0.5231467460318489,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
137.932,0.7054666666664579,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
